Entity,Denomination
BHARTIYA JANTA PARTY,6060.5111
ALL INDIA TRINAMOOL CONGRESS,1609.5313999999998
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1421.8654999999999
BHARAT RASHTRA SAMITHI,1214.7099
BIJU JANATA DAL,775.5
DMK PARTY IN PARLIAMENT,639.0
YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,337.0
TELUGU DESAM PARTY,218.88
SHIVSENA,159.38139999999999
RASTRIYA JANTA DAL,72.5
AAM AADMI PARTY,65.45
JANATA DAL ( SECULAR ),43.5
SIKKIM KRANTIKARI MORCHA,36.5
NATIONALIST CONGRESS PARTY PARLIAMENT OF,30.5
JANASENA PARTY,21.00000000000001
ADYAKSHA SAMAJVADI PARTY,14.049999999999999
BIHAR PRADESH JANTA DAL(UNITED),14.0
JHARKHAND MUKTI MORCHA,13.5
SHIROMANI AKALI DAL,7.26
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,6.049999999999999
SIKKIM DEMOCRATIC FRONT,5.499999999999999
RASHTRIYA JANTA DAL,1.0
MAHARASHTRAWADI GOMNTAK PARTY,0.55
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,0.5
JAMMU AND KASHMIR NATIONAL CONFERENCE,0.5
GOA FORWARD PARTY,0.35000000000000003
