Entity,Denomination
FUTURE GAMING AND HOTEL SERVICES PR,1208.0
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,821.0
QWIKSUPPLYCHAINPRIVATELIMITED,410.0
HALDIA ENERGY LIMITED,377.0
VEDANTA LIMITED,375.65
ESSEL MINING AND INDS LTD,224.5
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,220.0
KEVENTER FOODPARK INFRA LIMITED,195.0
MADANLAL LTD.,185.5
BHARTI AIRTEL LIMITED,183.0
YASHODA SUPER SPECIALITY HOSPITAL,162.0
UTKAL ALUMINA INTERNATIONAL LIMITED,135.3
DLF COMMERCIAL DEVELOPERS LIMITED,130.0
MKJ ENTERPRISES LIMITED,128.35
JINDAL STEEL AND POWER LIMITED,123.0
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,117.0
DHARIWAL INFRASTRUCTURE LIMITED,115.0
CHENNAI GREEN WOODS PRIVATE LIMITED,105.0
BIRLACARBONINDIAPRIVATELIMITED,105.0
RUNGTA SONS P LTD,100.0
FUTURE GAMING AND HOTEL SERVICES PRIVATE LIMITED,95.0
IFB AGRO INDUSTRIES LIMITED,92.30000000000001
TORRENT POWER LIMITED,86.5
AVEES TRADING FINANCE PVT LTD,85.5
DR.REDDY'S LABORATORIES LTD,80.0
PRARAMBH SECURITIES PVT LTDPROPRIET,78.0
MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,75.0
MEGHA ENGINEERING AND INFRASTRUCTURES LTD,70.0
FUTURE GAMING AND HOTEL SERVICES PVT LTD,65.0
MKJ ENTERPRISES LTD,64.07
RASHMI CEMENT LTD,63.5
SRI SIDDHARTH INFRATECH AND SERVICES I P,60.1
NCC LIMITED,60.0
INFINA FINANCE PRIVATE LIMITED,60.0
NATCO PHARMA LTD,57.25
DIVI S LABORATORIES LIMITED,55.0
THE RAMCO CEMENTS LIMITED,54.0
UNITED PHOSPHORUS INDIA LLP,50.0
AUROBINDO PHARMA LIMITED,49.0
RITHWIK PROJECTS PRIVATE LIMITED,45.0
MS S N MOHANTY,45.0
NAVAYUGA ENGINEERING COMPANY LIMITED,45.0
PCBL LIMITED,45.0
SASMAL INFRASTRUCTURE PRIVATE LIMITED,44.0
TORRENT PHARMACEUTICALS LTD,42.5
TRANSWAYS EXIM PRIVATE LIMITED,41.50000000000001
MODERN ROAD MAKERS PVT. LTD.,40.0
LAXMI CIVIL ENGINEERING SERVICES PR,40.0
SHIRDI SAI ELECTRICALS LTD,40.0
SEPC POWER PVT LTD OPERATION RETEN,40.0
PHL FINIVEST PVT LTD,40.0
BHARTI TELEMEDIA LIMITED,37.0
LAKSHMI NIWAS MITTAL,35.0
SWAL CORPORATION LIMITED,35.0
SAFAL GOYAL REALTY LLP,35.0
TORRENT PHARMACEUTICALS LIMITED,35.0
NEXG DEVICES PVT LTD,35.0
CRESCENT POWER LTD,34.0
GRASIM INDUSTRIES LTD,33.0
CIPLA LIMITED,32.2
LCCPROJECTSPRIVATELIMITED,31.5
KAMNA CREDITS AND PROMOTORS PVT LTD,30.500000000000004
GENUS POWER INFRASTRUCTURES LIMITED,30.5
JINDAL STAINLESS LTD,30.0
PHILLIPS CARBON BLACK LIMITED,30.0
APARNA FARMS AND ESTATES LLP,30.0
HONEYWELL PROPERTIES PVT LTD,30.0
HETERO DRUGS LIMITED,30.0
JINDAL SAW LIMITED,29.0
ZYDUS HEALTHCARE LIMITED,29.0
WESTWELL GASES PRIVATE LIMITED,28.5
PENGUIN TRADING & AGENCIES LIMITED,27.5
RASHMI METALIKS LTD,27.0
KAYPEE ENTERPRISES,27.0
MSN PHARMACHEM PVT LTD,26.0
KALPATARU PROJECTS INTERNATIONAL LIMITED,25.500000000000007
VEDANTA LTD,25.000000000000007
MAHINDRA & MAHINDRA LTD,25.0
AUTHUM INVESTMENT AND INFRASTRUCTURE LTD,25.0
LAXMIDAS VALLABHDAS ASMITA MERCHA,25.0
IRB MP EXPRESSWAY PRIVATE LIMITED,25.0
DLF LUXURY HOMES LIMITED,25.0
PRATHMESH CONSTRUCTION,25.0
HETERO LABS LIMITED,25.0
MAATHA PROJECTS LLP,25.0
K R RAJA JT,25.0
PIRAMAL ENTERPRISES LIMITED,25.0
MANKIND PHARMA LIMITED,24.0
AVEES TRADING & FINANCE PVT LTD,24.0
WPIL LIMITED,22.0
HES INFRA PVT LTD,22.0
SIDDHI TRADING,22.0
L7 HITECH PRIVATE LIMITED,22.0
K RAHEJA CORP PVT LTD,21.0
TORRENT POWER LTD,20.000000000000014
BKC PROPERTIES PVT LTD,20.0
TELLAPUR TECHNOCITY PRIVATE LIMI,20.0
MARUTI SUZUKI INDIA LTD,20.0
LUCINA LAND DEVELOPMENT LIMITED,20.0
FINOLEX CABLES LTD,20.0
CHANDER COMMERCIALS PVT LTD,20.0
KOYA AND COMPANY CONSTRUCTION LTD,20.0
WONDER CEMENT LTD,20.0
HERO MOTOCORP LIMITED,20.0
ULTRATECHCEMENTSLTD,20.0
HH IRON AND STEEL PRIVATE LIMITED,20.0
INTERGLOBE REAL ESTATE VENTURES PVT LTD,20.0
INTAS PHARMACEUTICALS LIMITED,20.0
HONOUR LAB LTD,20.0
SUN PHARMA LABORATORIES LIMTED,20.0
BAJAJ FINANCE LTD,20.0
RAHUL BHATIA,20.0
RAJAPUSHPA PROPERTIES PVT LTD,20.0
PRL DEVELOPERS PRIVATE LIMITED,20.0
NSL SEZ(HYDERABAD) PRIVATE LIMITED,19.5
DINESHCHANDRA R AGRAWAL INFRACON PVT LTD,18.5
VARDHMAN TEXTILES LTD,18.250000000000007
BAJAJ AUTO LTD,18.0
LUPIN LIMITED,18.0
RAY CONSTRUCTIONS LTD,17.5001
S D CORPORATION PVT LTD,17.0
OSTRO JAISALMER PRIVATE LIMITED,17.0
OSTRO MADHYA WIND PRIVATE LIMITED,17.0
DHEERAJ MEDICALS,17.0
NIRMA LIMITED,16.0
TVS MOBILITY PRIVATE LIMITED,16.0
KITEX GARMENTS LIMITED,16.0
BALU IRON AND STEEL COMPANY,16.0
MOHAN STEEL CORPORATION,16.0
ISHAN TECHNICAL PLANT SERVICES PVT LTD,16.0
EUGIA PHARMA SPECIALITIES LIMITED,15.0
TERACON BUILDTECH LLP,15.0
INFOTELBUSINESSSOLUTIONSLTDBR,15.0
AQUA SPACE DEVELOPERS PRIVATE LIMIT,15.0
INORBIT MALLS INDIA PRIVATE LIMIT,15.0
MY HOME INFRASTRUCTURES PRIVATE LI,15.0
DLF GARDEN CITY INDORE PVT LTD,15.0
AKSENTT TECH SERVICES LIMITED (UNITY TEL ECOM INFRASTRUCTURE),15.0
ALKEM LABORATORIES LIMITED,15.0
MISRILALL MINES PVT LTD,15.0
BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO,15.0
ULTRA TECH CEMENT LIMITED,14.999999999999998
ABHINANDANSTOCKBROKINGPVTLTD,14.700000000000003
SHRI JAGANNATH STEELS & POWER LTD,14.5
M/SKJS AHLUWALIA,14.0
INDER THAKURDAS JAISINGHANI,14.0
MYTRAH ENERGY INDIA PRIVATE LIMITED,14.0
WELSPUN CORP LTD,14.0
JK LAKSHMI CEMENT LIMITED,13.999999999999998
IPCA LABORATORIES LIMITED,13.5
WELSPUN CORP LIMITED,13.0
WELSPUN ENTERPRISES LTD,13.0
RAJESH MANNALAL AGRAWAL,13.0
MODERN ROAD MAKERS PVT LTD,13.0
SANDHYA CONSTRUCTIONS & ESTATES PRIVATE LIMITED,13.0
HIMALAYAN ENDEAVOUR PVT LTD,12.9
HINDYS LAB PRIVATE LTD,12.5
HAZELO LAB PRIVATE LTD,12.5
NATCO PHARMA LIMITED,12.0
SATEC ENVIR ENGINEERING (I) PVT LTD,12.0
TALENTO TECHNICAL PLANT SERVICES PVT LTD,12.0
BHARTI INFRATEL LIMITED,12.0
GUJARAT FLUORO CHEMICALS LIMITED,12.0
HERALD BEVERAGES PRIVATE LIMITED,11.5
SUN PHARMA LABORATORIES LTD,11.5
BENGAL COKE COMPANY LIMITED,11.321
KEC INTERNATIONAL LIMITED,11.0
INTERGLOBE AIR TRANSPORT LIMITED,11.0
REAL TECHNICAL SOLUTIONS PVT LTD,11.0
JWIL INFRA LTD. (FORM. JITF WATER,10.5
JAI BHARAT TECHNICAL SERVICES PVT LTD,10.499999999999998
ALEMBICPHARMACEUTICALSLINCLRTGS,10.2
MONALISA BOTTLING INDUSTRIES PVT LTD,10.149999999999999
PRESTIGE PROJECTS PVT LTD,10.0
APCO INFRATECH PRIVATE LIMITED,10.0
SELENE CONSTRUCTIONS LIMITED,10.0
SAURABH GUPTA,10.0
RAHUL JAGANNATH JOSHI,10.0
HARMESH RAHUL JOSHI,10.0
BRIGHT STAR INVESTMENTS PVT.LTD,10.0
GVPR ENGINEERS LTD,10.0
GOODLUCK INDIA LIMITED,10.0
RAJU KUMAR SHARMA,10.0
ABNLINVESTMENTLIMITED,10.0
ENVIRO CONTROL PRIVATE LIMITED FORM,10.0
ENAM HOLDINGS PRIVATE LIMITED,10.0
WELSPUN INDIA LIMITED,10.0
CYIENT LIMITED,10.0
CHANDRAJYOTI ESTATE DEVELOPERS PVT.,10.0
UTKAL ALUMINA INTERNATIONAL LTD,10.0
BHARAT BIOTECH INTERNATIONAL LIMITED,10.0
BIOXGREEN TECHNOLOGY PRIVATE LIMITE,10.0
SNEHA KINETIC POWER PROJECTS PVT LTD,10.0
PEGASUS PROPERTIES PVT LTD,10.0
KNR CONSTRUCTIONS LTD,10.0
BAJAJ HOLDINGS & INVESTMENT LIMITED,10.0
S.S.EARTHMOVERS AND LOGISTICS,10.0
TVS MOTOR COMPANY LIMITED,10.0
ORISSA METALIKS PVT LIMITED,10.0
SHRI SHAMLAJI SALES PRIVATE LIMITED,10.0
NAVAYUGA ENGINEERING CO LTD,10.0
PIRAMAL ENTERPRISES LTD,10.0
SRICHAITANYA STUDENTS FACILITY MANAGEMENT PVT LTD,10.0
NARA CONSTRUCTIONS,10.0
