,UBN,Reference No  (URN),Date_Purchase,Date_Cash,Buyer,Party,Status,Denominations
0,TL11448,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.1
1,TL11447,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.1
2,TL11441,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.1
3,OL1113,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
4,OL1118,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
5,OL1112,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
6,OL1115,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
7,OL1119,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
8,OL1110,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
9,OL1111,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
10,OL1106,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
11,OL1114,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
12,OL1117,00001201904120000001166,12/Apr/2019,25/Apr/2019,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
