UBN,Reference No  (URN),Date_Purchase,Date_Cash,Buyer,Party,Status,Denominations
TL11448,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.1
TL11447,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.1
TL11441,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.1
OL1113,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1118,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1112,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1115,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1119,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1110,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1111,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1106,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1114,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
OL1117,00001201904120000001166,2019/04/12,2019/04/25,A B C INDIA LIMITED,BHARATIYA JANATA PARTY,Paid,0.01
TL11556,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.1
TL11555,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.1
OL1125,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.01
OL1129,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.01
OL1124,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.01
OL1128,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.01
OL1126,00001201904120000001178,2019/04/12,2019/04/22,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,Paid,0.01
TL11551,00001201904120000001177,2019/04/12,2019/04/20,ARIHANT ENTERPRISES,BHARATIYA JANATA PARTY,Paid,0.1
TL11554,00001201904120000001177,2019/04/12,2019/04/20,ARIHANT ENTERPRISES,BHARATIYA JANATA PARTY,Paid,0.1
TL11553,00001201904120000001177,2019/04/12,2019/04/20,ARIHANT ENTERPRISES,BHARATIYA JANATA PARTY,Paid,0.1
TL11552,00001201904120000001177,2019/04/12,2019/04/20,ARIHANT ENTERPRISES,BHARATIYA JANATA PARTY,Paid,0.1
TL12904,00300201904120000001173,2019/04/12,2019/04/20,CHOUDHARY GARMENTS,BHARATIYA JANATA PARTY,Paid,0.1
TL12902,00300201904120000001173,2019/04/12,2019/04/20,CHOUDHARY GARMENTS,BHARATIYA JANATA PARTY,Paid,0.1
OC6297,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6275,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6261,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6278,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6262,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6274,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6257,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6273,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6272,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6280,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6251,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC4597,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6279,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6296,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6256,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6286,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6298,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6267,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC4632,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6284,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6254,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6292,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6268,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6258,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6253,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6293,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6281,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6264,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6288,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6300,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6269,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC4598,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6263,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6270,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6283,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6299,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6271,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6252,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6282,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6259,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6295,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6260,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6255,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6265,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6285,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6289,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6291,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6294,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
OC6287,00001201904120000001165,2019/04/12,2019/04/20,ESSEL MINING AND INDS LTD,BHARATIYA JANATA PARTY,Paid,1.0
